科系,等級,學生總計,男生計,女生計
教育學系,B 學士,258,85,173
特殊教育學系,B 學士,166,34,132
學習科學學士學位學程,B 學士,70,31,39
學士後學位學程教保員專班,B 學士,36,1,35
公民教育與活動領導學系,B 學士,367,136,231
社會教育學系,B 學士,221,52,169
健康促進與衛生教育學系,B 學士,178,41,137
人類發展與家庭學系,B 學士,300,47,253
工業教育學系,B 學士,126,112,14
體育與運動科學系,B 學士,255,147,108
教育學院學士班,B 學士,46,16,30
科技應用與人力資源發展學系,B 學士,239,130,109
設計學系,B 學士,165,44,121
美術學系,B 學士,195,54,141
音樂學系,B 學士,274,68,206
表演藝術學士學位學程,B 學士,88,20,68
歷史學系,B 學士,239,130,109
英語學系,B 學士,326,89,237
華語文教學系,B 學士,416,84,332
臺灣語文學系,B 學士,92,35,57
國文學系,B 學士,441,119,322
教育心理與輔導學系,B 學士,183,55,128
地理學系,B 學士,332,175,157
東亞學系,B 學士,223,62,161
圖文傳播學系,B 學士,192,42,150
企業管理學系,B 學士,241,78,163
生命科學系,B 學士,250,124,126
營養科學學士學位學程,B 學士,127,39,88
化學系,B 學士,317,199,118
地球科學系,B 學士,169,109,60
物理學系,B 學士,269,226,43
數學系,B 學士,378,299,79
資訊工程學系,B 學士,237,181,56
電機工程學系,B 學士,199,154,45
光電工程學士學位學程,B 學士,67,45,22
機電工程學系智能鑄造產學攜手專班,B 學士,34,30,4
機電工程學系,B 學士,210,185,25
車輛與能源工程學士學位學程,B 學士,96,92,4
運動競技學系,B 學士,291,153,138
